Variable,Specification,,,,
,3,4,3_1,4_1,
R2,0.494,0.509,0.592,0.595,
const,-1.815,-1.878,-2.227,-2.252,
Delta MRO,0.262,0.272,0.349,0.361,
Inflation,-17.761,-16.661,-12.170,-11.925,
Time,0,,0,,
Time count,,0.006,,0.009,
output_gap_quart,6.401,6.177,2.257,2.630,
President_Christine Lagarde,,,-0.731,-0.702,
President_Jean Claude Trichet,,,0.287,0.244,
President_Mario Draghi,,,-0.072,-0.156,
