,Date,Close
0,04/06/1998,3314.68
1,04/07/1998,3325.81
2,04/08/1998,3260.56
3,04/09/1998,3264.15
4,04/14/1998,3283.05
5,04/15/1998,3289.71
6,04/16/1998,3251.87
7,04/17/1998,3267.75
8,04/20/1998,3298.98
9,04/21/1998,3294.93
10,04/22/1998,3272.2
11,04/23/1998,3226.14
12,04/24/1998,3174.18
13,04/27/1998,3061.04
14,04/28/1998,3153.55
15,04/29/1998,3118.37
16,04/30/1998,3120.94
17,05/04/1998,3309.96
18,05/05/1998,3261.38
19,05/06/1998,3262.55
20,05/07/1998,3216.03
21,05/08/1998,3255.78
22,05/11/1998,3327.92
23,05/12/1998,3290.86
24,05/13/1998,3304.42
25,05/14/1998,3305.41
26,05/15/1998,3304.69
27,05/18/1998,3253.33
28,05/19/1998,3313.72
29,05/20/1998,3352.25
30,05/22/1998,3371.39
31,05/25/1998,3422.42
32,05/26/1998,3424.55
33,05/27/1998,3340.51
34,05/28/1998,3338.8
35,05/29/1998,3357.77
36,06/02/1998,3368.29
37,06/03/1998,3399.22
38,06/04/1998,3375.03
39,06/05/1998,3421.55
40,06/08/1998,3443.76
41,06/09/1998,3415.77
42,06/10/1998,3424.65
43,06/11/1998,3393.76
44,06/12/1998,3303.01
45,06/15/1998,3253.91
46,06/16/1998,3269.06
47,06/17/1998,3330.55
48,06/18/1998,3291.14
49,06/19/1998,3258.16
50,06/22/1998,3252.12
51,06/23/1998,3309.48
52,06/24/1998,3330.29
53,06/25/1998,3391.94
54,06/26/1998,3395.41
55,06/29/1998,3431.06
56,06/30/1998,3406.82
57,07/01/1998,3464.96
58,07/02/1998,3471.65
59,07/03/1998,3506.45
60,07/06/1998,3518.79
61,07/07/1998,3530.93
62,07/08/1998,3553.07
63,07/09/1998,3542.2
64,07/10/1998,3532.65
65,07/13/1998,3551.74
66,07/14/1998,3576.68
67,07/15/1998,3602.83
68,07/16/1998,3613.4
69,07/17/1998,3658.48
70,07/20/1998,3670.82
71,07/21/1998,3649.96
72,07/22/1998,3582.12
73,07/23/1998,3582.16
74,07/24/1998,3570.67
75,07/27/1998,3512.62
76,07/28/1998,3499.87
77,07/29/1998,3494.53
78,07/30/1998,3529.5
79,07/31/1998,3480.63
80,08/03/1998,3422.75
81,08/04/1998,3412.66
82,08/05/1998,3344.15
83,08/06/1998,3290.5
84,08/07/1998,3348.61
85,08/10/1998,3282.7
86,08/11/1998,3187.44
87,08/12/1998,3248.14
88,08/13/1998,3240.83
89,08/14/1998,3284.47
90,08/17/1998,3277.21
91,08/18/1998,3389.88
92,08/19/1998,3400.07
93,08/20/1998,3349.23
94,08/21/1998,3209.05
95,08/24/1998,3202.96
96,08/25/1998,3282.91
97,08/26/1998,3186.77
98,08/27/1998,3063.83
99,08/28/1998,3009.74
100,08/31/1998,2978.12
101,09/01/1998,2950.01
102,09/02/1998,3035.73
103,09/03/1998,2971.38
104,09/04/1998,3003.66
105,09/07/1998,3038.09
106,09/08/1998,3105.31
107,09/09/1998,3051.49
108,09/10/1998,2903.71
109,09/11/1998,2890.98
110,09/14/1998,2968.55
111,09/15/1998,2947.01
112,09/16/1998,2971.83
113,09/17/1998,2826.22
114,09/18/1998,2781.69
115,09/21/1998,2658.27
116,09/22/1998,2726.32
117,09/23/1998,2820.29
118,09/24/1998,2775.47
119,09/25/1998,2743.04
120,09/28/1998,2785.63
121,09/29/1998,2760.26
122,09/30/1998,2670.97
123,10/01/1998,2533.07
124,10/02/1998,2488.59
125,10/05/1998,2445.89
126,10/06/1998,2586.69
127,10/07/1998,2541.08
128,10/08/1998,2419.23
129,10/09/1998,2469.87
130,10/12/1998,2469.87
131,10/13/1998,2469.87
132,10/14/1998,2469.87
133,10/15/1998,2469.87
134,10/16/1998,2469.87
135,10/19/1998,2469.87
136,10/20/1998,2469.87
137,10/21/1998,2469.87
138,10/22/1998,2797.33
139,10/23/1998,2806.22
140,10/26/1998,2829.55
141,10/27/1998,2910.1
142,10/28/1998,2845.3
143,10/29/1998,2832.82
144,10/30/1998,2887.11
145,11/02/1998,2952.04
146,11/03/1998,2952.23
147,11/04/1998,3030.34
148,11/05/1998,2975.7
149,11/06/1998,2972.25
150,11/09/1998,2957.79
151,11/10/1998,2918.94
152,11/11/1998,2935.14
153,11/12/1998,2929.19
154,11/13/1998,2924.97
155,11/16/1998,3000.97
156,11/17/1998,2982.07
157,11/18/1998,2974.98
158,11/19/1998,3049.68
159,11/20/1998,3133.49
160,11/23/1998,3194.17
161,11/24/1998,3163.88
162,11/25/1998,3167.24
163,11/26/1998,3230.34
164,11/27/1998,3261.19
165,11/30/1998,3179.09
166,12/01/1998,3056.11
